uri,Glossary Term,definition,type,label,alternative label,tag,description,definition extension,editorial note,document link,seeAlso,broader term,narrower term,related term,has exact match,has close match,has broader match,has related match
http://nwcg.gov/glos/nwcg_terms/nwcg-chainOfCommand,chain of command,A series of management positions in order of authority.,Business Term,chain of command,,Incident,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-peakWindDirection,peak wind direction,Direction at peak wind speed.,Business Term,peak wind direction,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-division,division,The ICS organization level between the branch and the task force/strike team. Divisions are used to divide an incident into geographical areas of operation. Divisions are established when the number of resources exceeds the span-of-control of the operations chief.&nbsp;,Business Term,division,,Incident,,,JK-checked.,,,,,Group,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-group,Group,"Groups are established to divide the incident into functional areas of operation. Groups are composed of resources assembled to perform a special function not necessarily within a single geographic division. Groups, when activated, are located between branches and resources in the operations section.&nbsp;",Business Term,Group,,Incident,,,gb,,,,,division,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-runningFire,running fire,Behavior of a fire spreading rapidly with a well defined head.,Business Term,running fire,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-pointSource,point source,A permanent source of air pollution that can be distinctly identified such as a smokestack.,Business Term,point source,,Fuels,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-generalScheduleEmployee,General Schedule Employee,A regular federal government employee who is compensated under the General Schedule (GS) Pay Plan.,Business Term,General Schedule Employee,,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-trailDrop,trail drop,An unbroken line of retardant used for constructing a retardant line.,Business Term,trail drop,,Resources,,,GB,,,,,drop configuration,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-dropConfiguration,drop configuration,The type of retardant drop selected to cover a ground target. Terms that can specify the type of drop configuration include Salvo Drop and Trail Drop.,Business Term,drop configuration,,Resources,,,JK-checked.,,,,,"trail drop, salvo drop, glossary:nwcg-traildrop",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-salvodrop,salvo drop,Total retardant or water load dropped all at once. Usually done to knock down a hotspot.,Business Term,salvo drop,,Resources,,,GB,,,,,drop configuration,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-rearOfaFireSlowestSpreading,rear (of a fire) (slowest spreading),Slowest spreading portion of a fire edge.,Business Term,rear (of a fire) (slowest spreading),heel of a fire,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-precisionApproachRadar,Precision Approach Radar,Blind landing in which the aircraft is observed from the ground by means of radar and directed along a suitable glide path by instructions radioed to the pilot.,Business Term,Precision Approach Radar,,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-directattack,direct attack,"Any treatment applied directly to burning fuel such as wetting, smothering, or chemically quenching the fire or by physically separating the burning from unburned fuel.",Business Term,direct attack,,Incident,,,JK-checked.,,,,,direct line,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-directLine,direct line,"Any treatment applied directly to burning fuel such as wetting, smothering, or chemically quenching the fire or by physically separating the burning from unburned fuel.",Business Term,direct line,,Incident,,,JK-checked.,,,,,direct attack,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-communicationsUnit,Communications Unit,"An organizational unit in the Logistics Section responsible for providing and maintaining communication services at an incident. May also be a facility (e.g., a trailer or mobile van) used to provide the major part of an incident communications center.",Business Term,Communications Unit,,Incident,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-slingLoad,sling load,Any cargo carried beneath a helicopter and attached by a lead line and swivel.,Business Term,sling load,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fuelsWetFlag,fuels wet flag,A one-character code indicating whether or not fine fuels are wet or dry.,Business Term,fuels wet flag,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-safenet,SAFENET,"A form and process, used by wildland firefighting agencies, for reporting and resolving incidents relating to firefighter safety. The information collected is used to determine long-term trends and problem areas within the wildland fire industry.",Business Term,SAFENET,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-doubleFemaleCoupling,double female coupling,A hose-coupling device having two female swivel couplings to permit joining two male hose nipples of the same size and thread type when lines are laid with couplings in opposite or reverse directions.,Business Term,double female coupling,,Resources,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-handCrew,hand crew,A number of individuals that have been organized and trained and are supervised principally for operational assignments on an incident.,Business Term,hand crew,,Incident,,,gb - edg had ipsc,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-costSharingAgreements,cost sharing agreements,"Agreements that document the financial responsibility for incident resource costs, possibly identifying requirements of other party payments.",Business Term,cost sharing agreements,,Incident,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-railroadFire,railroad fire,"A fire resulting from any operation or activity of a railroad, except smoking.",Business Term,railroad fire,,Miscellaneous,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-safetyZone,safety zone,"An area cleared of flammable materials used for escape in the event the line is outflanked or in case a spot fire causes fuels outside the control line to render the line unsafe. In firing operations, crews progress so as to maintain a safety zone close at hand allowing the fuels inside the control line to be consumed before going ahead. Safety zones may also be constructed as integral parts of fuel breaks; they are greatly enlarged areas which can be used with relative safety by firefighters and their equipment in the event of blowup in the vicinity.&nbsp;",Business Term,safety zone,,Resources,,,GB,,,,,survival zone,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-survivalZone,survival zone,"A natural or cleared area of sufficient size and location to protect fire personnel from known hazards while inside a fire shelter. Examples include rock slides, road beds, clearings, knobs, wide ridges, benches, dozer lines, wet areas, cleared areas in light fuels, and previously burned areas. These are all areas where you expect no flame contact or prolonged heat and smoke.&nbsp;",Business Term,survival zone,,Resources,,,"GB - mentions see also Deployment Zone, but the link doesn't take users anywhere",,,,,safety zone,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireStorm,fire storm,"Violent convection caused by a large continuous area of intense fire. Often characterized by destructively violent surface indrafts, near and beyond the perimeter, and sometimes by tornado-like whirls.",Business Term,fire storm,,Fire Environment,,,gb,,,,,"flare-up, extreme fire behavior, blowup",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-flareUp,flare-up,"Any sudden acceleration in rate of spread or intensification of the fire. Unlike blowup, a flare-up is of relatively short duration and does not radically change existing control plans.",Business Term,flare-up,,Incident,,,gb,,,,,"extreme fire behavior, fire storm, blowup",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-extremeFireBehavior,extreme fire behavior,"Extreme implies a level of fire behavior characteristics that ordinarily precludes methods of direct control action. One or more of the following is usually involved: high rate of spread, prolific crowning and/or spotting, presence of fire whirls, strong convection column. Predictability is difficult because such fires often exercise some degree of influence on their environment and behave erratically, sometimes dangerously.&nbsp;",Business Term,extreme fire behavior,,Fire Environment,,,GB,,,,,"flare-up, fire storm, blowup",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-lineOfficer,line officer,"Managing officer, or designee, of the agency, division thereof, or jurisdiction having statutory responsibility for incident mitigation and management.",Business Term,line officer,,Incident,,,gb,,,,,agency administrator,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-agencyAdministrator,agency administrator,"The official responsible for the management of a geographic unit or functional area. The managing officer of an agency, division thereof, or jurisdiction having statutory responsibility for incident mitigation and management. Examples: NPS Park Superintendent, BIA Agency Superintendent, USFS Forest Supervisor, BLM District Manager, FWS Refuge Manager, State Forest Officer, Tribal Chairperson, Fire Chief, Police Chief.&nbsp;",Business Term,agency administrator,,Incident,,,JK-checked.,,,,,line officer,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-stagingArea,staging area,Locations set up at an incident where resources can be placed while awaiting a tactical assignment on a three (3) minute available basis. Staging Areas are managed by the Operations Section.,Business Term,staging area,,Incident,,,"<div>GB<br />Had NIMSIC in EDG, but website had IBC</div>",,,,,Operations Section,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-operationsSection,Operations Section,"The section responsible for all tactical operations at the incident. Includes branches, divisions and/or groups, task forces, strike teams, single resources and staging areas.",Business Term,Operations Section,,Incident,,,gb,,,,,staging area,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireClimate,fire climate,Composite pattern of weather elements over time that affect fire behavior in a given region.,Business Term,fire climate,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-function,function,"In ICS, function refers to the five major activities: command, operations, planning, logistics and finance/administration.",Business Term,function,,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireEdge,fire edge,The boundary of a fire at a given moment.,Business Term,fire edge,,Fuels,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-attackLine,attack line,"A line of hose, preconnected to the pump of a fire apparatus and ready for immediate use in attacking a fire. Contrasted to supply lines connecting a water supply with a pump or to feeder lines extended from a pump to various points around the perimeter of a fire.&nbsp;",Business Term,attack line,,Incident,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireRiskLikelihood,fire risk (likelihood),"The chance of fire starting, as determined by the presence and activity of causative agents.",Business Term,fire risk (likelihood),,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-equipmentUseFire,equipment use fire,Fire caused by mechanical equipment other than railroad operations.,Business Term,equipment use fire,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireSpreadModel,fire spread model,A set of physics and empirical equations that form a mathematical representation of the behavior of fire in uniform wildland fuels.,Business Term,fire spread model,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireHazardousAreas,fire hazardous areas,"Those wildland areas where the combination of vegetation, topography, weather, and the threat of fire to life and property create difficult and dangerous problems.",Business Term,fire hazardous areas,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireScarVegetation,fire scar (vegetation),"A healing or healed injury or wound to woody vegetation, caused or accentuated by a fire.",Business Term,fire scar (vegetation),,Fuels,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-rearOfFireSpread,rear (of a fire) (fire spread),That portion of a fire spreading directly into the wind or down slope.,Business Term,rear (of a fire) (fire spread),,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-uncontrolledFire,uncontrolled fire,"Any fire which threatens to destroy life, property, or natural resources, and (a) is not burning within the confines of firebreaks, or (b) is burning with such intensity that it could not be readily extinguished with ordinary tools commonly available.",Business Term,uncontrolled fire,,Incident,,,,,,,,wildfire,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-wildfire,wildfire,"A wildland fire originating from an unplanned ignition, such as lightning, volcanos, unauthorized and accidental human caused fires, and prescribed fires that are declared wildfires.",Business Term,wildfire,unplanned ignition,Miscellaneous,,,,https://www.nwcg.gov/sites/default/files/docs/eb-fmb-m-19-004a.pdf,,,,"unplanned ignition, uncontrolled fire",,EC-WF,,
http://nwcg.gov/glos/nwcg_terms/nwcg-unplannedIgnition,unplanned ignition,,Business Term,unplanned ignition,,Miscellaneous,,,,,,,,wildfire,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireVector,fire vector,"The direction of fire spread identified as one of three categories: advancing, lateral, or backing.",Business Term,fire vector,,Resources,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-greenbelt,greenbelt,"Landscaped and regularly maintained fuel break, usually put to some additional use (e.g., golf course, park, playground).",Business Term,greenbelt,,Miscellaneous,,,gb,,,,,fuel break,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fuelBreak,fuel break,A natural or manmade change in fuel characteristics which affects fire behavior so that fires burning into them can be more readily controlled.,Business Term,fuel break,,Fuels,,,gb,,,,,greenbelt,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-swamperDozer,swamper (dozer),"A worker on a dozer crew who pulls winch line, helps maintain equipment, etc., to speed suppression work on a fire.",Business Term,swamper (dozer),,Incident,,,GB - EDG had IOSC. HTTFS makes sense for the swamper (faller/sawyer definition),,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-facilitiesUnit,Facilities Unit,"Functional unit within the logistics section that provides the layout, activation, and management of all incident facilities. These facilities may include the incident base, feeding areas, sleeping areas, sanitary facilities, etc.",Business Term,Facilities Unit,,Incident,,,GB,,,"Logistics Section, Support Branch",,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-flamingPhase,flaming phase,That phase of a fire where the fuel is ignited and consumed by flaming combustion.,Business Term,flaming phase,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-lopping,lopping,"After felling, cutting branches, tops, and unwanted boles into lengths such that resultant logging debris will lie close to the ground.",Business Term,lopping,,Fuels,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-driveAxle,drive axle,An axle that supports a portion of the vehicle weight and transmits a driving force to the wheels.,Business Term,drive axle,,Resources,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-prescribedFireModule,prescribed fire module,"A team of skilled and mobile personnel dedicated primarily to prescribed fire management that can ignite, hold and monitor prescribed fires.",Business Term,prescribed fire module,,Fuels,,,gb,,,,,wildland fire module,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-wildlandFireModule,wildland fire module,A group of 7-10 highly skilled personnel specifically associated with the planning and implementation of planned and unplanned wildland fire and hazardous fuels treatments. Maybe classified as a Type 1 or Type 2 dependent on qualifications and experience.,Business Term,wildland fire module,,Fuels,,,,,,,,prescribed fire module,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-forb,forb,"A plant with an herbaceous (soft, rather than permanent woody) stem, that is not a grass or grasslike plant.",Business Term,forb,,Fuels,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-parallelTandemPumping,parallel tandem pumping,Procedure by which the flow from two fire pumps is combined into a third pump.,Business Term,parallel tandem pumping,,Resources,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireDetection,fire detection,Act or system of discovering and locating fires.,Business Term,fire detection,,Incident,,,GB,,,,,,,detection,,
http://nwcg.gov/glos/nwcg_terms/nwcg-detection,detection,The act or system of discovering and locating fires.,Business Term,detection,,Incident,,,JK-checked.,,,,,discovery,,fire detection,,
http://nwcg.gov/glos/nwcg_terms/nwcg-discovery,discovery,Determination that a fire exists. Location and reporting of a fire is not required as is with detection.,Business Term,discovery,,Resources,,,JK-checked.,,,,,detection,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-preventionTeam,prevention team,"Provides support to fire prevention and wildland fire educational needs preceding and during periods of high wildland fire danger or prescribed fire activity. The teams provide assistance to wildland fire managers with coordination of fire loss mitigation efforts with public, state or local agencies.",Business Term,prevention team,,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-coyoteTactics,coyote tactics,"A progressive line construction duty involving self-sufficient crews which build fire line until the end of the operational period, remain at or near the point while off duty, and begin building fireline the next operational period where they left off.",Business Term,coyote tactics,,Incident,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-singleDoorDrop,single door drop,Technique whereby fire retardant is released from only one compartment of an airtanker.,Business Term,single door drop,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-arson,arson,"At common law, the malicious and willful burning of another's dwelling, outhouse or parcel; by most modern statutes, the intentional and wrongful burning of someone else's, or one's own, property. Frequently requires proof of malicious or wrongful intent.",Business Term,arson,,Resources,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-shrubType,shrub type,"The two-category (evergreen, deciduous) classification of shrubs vegetation in the 1988 version of NFDRS.",Business Term,shrub type,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-orthophotoMaps,orthophoto maps,"Aerial photographs corrected to scale such that geographic measurements may be taken directly from prints. They may contain graphically emphasized geographic features and may be provided with overlays of such features as: water systems, facility location, etc.&nbsp;",Business Term,orthophoto maps,,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-eyewitness,eyewitness,"Person who sees evidence of criminal activity, actual commission of a crime or a criminal fleeing a crime scene.",Business Term,eyewitness,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-arsonist,arsonist,One who commits arson.,Business Term,arsonist,,Resources,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-councilTool,council tool,"Long-handled combination rake and cutting tool, the blade of which is constructed of a single row of three or four sharpened teeth.",Business Term,council tool,"council rake, fire rake",Resources,,,JK-checked.,,,,,rich tool,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-richTool,rich tool,"A long-handled combination rake and cutting tool, the blade of which is constructed of a single row of mowing machine cutter teeth fastened to a piece of angle iron.",Business Term,rich tool,"council rake, fire rake",Resources,,,gb,,,,,council tool,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-touchdownPad,touchdown pad,That portion of a heliport or helispot where the helicopter lands.,Business Term,touchdown pad,,Incident,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-eventPlannedUnplanned,event (planned/unplanned),"A planned, non-emergency activity. ICS can be used as the management system for a wide range of events, e.g., parades, concerts or sporting events.",Business Term,event (planned/unplanned),event,,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-frictionLoss,friction loss,"Pressure loss caused by the movement of water or solution against the interior surface of fire hose, pipe, or fittings; normally measured in pressure loss per length of hose or pipe.",Business Term,friction loss,,Resources,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-trafficPattern,traffic pattern,"Traffic flow that is prescribed for aircraft landing at, taxiing on, and taking off from, an airport. Usual components of a traffic pattern are upwind leg, crosswind leg, downwind leg, base leg, and final approach.",Business Term,traffic pattern,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-airAttackBase,air attack base,Permanent facility at which aircraft are stationed for use in air attack operations.,Business Term,air attack base,,Resources,,,JK-checked.,,,,,reload base,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-reloadBase,reload base,An airfield where airtankers are reloaded but not permanently stationed.,Business Term,reload base,,Incident,,,gb,,,,,air attack base,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-torchSetFire,torch (set fire),To set fire to property deliberately and maliciously.,Business Term,torch (set fire),,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireSuppressionOrganizationFire,fire suppression organization (fire),The personnel and equipment collectively assigned to the suppression of a specific fire or group of fires.,Business Term,fire suppression organization (fire),,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-localResource,local resource,Resources within a dispatch center's area of responsibility.,Business Term,local resource,,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-reportingLocations,reporting locations,"Location or facilities where incoming resources can check-in at the incident. Check-in locations include: incident command post (resources unit), incident base, camps, staging areas, helibases, helispots, and direct to the line. Check-in at one location only.&nbsp;",Business Term,reporting locations,,Incident,,,gb,,,,,check-in,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-checkIn,check-in,"The process whereby resources first report to an incident. Check-in locations include incident command post (ICP), base or camps, staging areas, helibases, or direct to a tactical assignment.",Business Term,check-in,,Incident,,,JK-checked.,,,,,reporting locations,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-homeIgnitionZone,Home Ignition Zone,The area where the factors that principally determine home ignition potential during extreme wildfire behavior (high fire intensities and burning embers) are present. The characteristics of a home and its immediate surroundings within 100 feet comprise the HIZ.,Business Term,Home Ignition Zone,,Miscellaneous,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-implementationPlan,implementation plan,"The design and definition of all the activities, resources, limitations, and contingencies required for successful wildland fire management.",Business Term,implementation plan,,Fuels,,,gb,,,,,"prescribed fire plan, prescribed fire burn plan",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-prescribedFireBurnPlan,prescribed fire burn plan,"A plan required for each fire application ignited by management. Plans are documents prepared by qualified personnel, approved by the agency administrator, and include criteria for the conditions under which the fire will be conducted (a prescription). Plan content varies among the agencies.",Business Term,prescribed fire burn plan,prescribed fire plan,Fuels,,,gb,,,,,implementation plan,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-prescribedFirePlan,prescribed fire plan,"A plan required for each fire application ignited by management. Plans are documents prepared by qualified personnel, approved by the agency administrator, and include criteria for the conditions under which the fire will be conducted (a prescription).",Business Term,prescribed fire plan,prescribed fire burn plan,Fuels,,,gb,,,,,implementation plan,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-landOccupancyFire,land occupancy fire,"Fire started as a result of land occupancy for agricultural purposes, industrial establishment, construction, maintenance and use of rights-of-way, and residences, except equipment use and smoking.",Business Term,land occupancy fire,,Resources,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-slingPsychrometer,sling psychrometer,"A hand operated instrument for obtaining wet and dry bulb temperature readings and, subsequently, relative humidity.",Business Term,sling psychrometer,,Resources,,,GB,http://glossary.ametsoc.org/wiki/Sling_psychrometer,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-skidderUnit,skidder unit,"A self-contained unit consisting of a water tank, fire pump, and hose specially designed to be carried on a logging skidder for use in forest fire suppression.",Business Term,skidder unit,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-horizontalFuelsArrangement,horizontal fuels arrangement,Composition of fuel laterally across the landscape.,Business Term,horizontal fuels arrangement,,Fuels,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-charByproduct,char (byproduct),"Carbonaceous material formed by incomplete combustion of an organic material, most commonly wood; remains of burned materials.",Business Term,char (byproduct),,Resources,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-heat,heat,"Temperatures higher than that of the normal atmosphere, produced by the process of burning or oxidation.",Business Term,heat,,Resources,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-procurementOffice,procurement office,"Agency personnel with specific delegation of procurement authority, acting within the limits of agency policy of said authority.",Business Term,procurement office,,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-spotChange,spot change,"The second continuous day of an incident, a regular government employee's normal daily tour of duty is ""spot changed"" to where the first 8, 9, or 10 hours worked are base hours.",Business Term,spot change,,Incident,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-openLine,open line,Refers to open fire front where no line has been constructed.,Business Term,open line,,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-surfaceTension,surface tension,"The elastic-like force at the surface of a liquid, tending to minimize the surface area and causing drops to form. Expressed as Newtons per meter or dynes per centimeter (1 Newton/m=1,000 dynes/cm).",Business Term,surface tension,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-firelineAdministration,fireline (administration),"For purposes of pay administration for hazardous duty, a fireline is defined as the area within or adjacent to the perimeter of an uncontrolled wildfire of any size in which action is being taken to control fire. Such action includes operations, which directly support control of fire (e.g. activities to extinguish the fire, ground scouting, spot fire patrolling, search and rescue operations, and backfiring).",Business Term,fireline (administration),,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-federalAviationRegulation,Federal Aviation Regulation,Refers to the regulations governing all aviation activities of civil aircraft within the United States and its territories.,Business Term,Federal Aviation Regulation,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-emissionReduction,emission reduction,A strategy for controlling smoke from prescribed fires that minimizes the amount of smoke output per unit area treated.,Business Term,emission reduction,,Fuels,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-insideDiameter,Inside Diameter,"The internal diameter of a tube, conductor, or coupling, as distinguished from its OD (Outside Diameter). Fire hose sizes are classified by a nominal internal diameter.",Business Term,Inside Diameter,,Resources,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-totalFuel,total fuel,All plant material both living and dead that can burn in a worst case situation.,Business Term,total fuel,,Fuels,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-straightStreamNozzle,straight stream nozzle,A hose tip spout designed to provide the maximum reach of water without feathering.,Business Term,straight stream nozzle,,Resources,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-doubleArsonist,double arsonist,"An offender who sets two fires at one site, at the same time, in a single event.",Business Term,double arsonist,,Resources,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-baseStation,base station,A fixed central radio dispatching station controlling movements of one or more mobile units.,Business Term,base station,,"Incident, Resources",,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-patrolSuppression,patrol (suppression),"To go back and forth vigilantly over a length of control line during and/or after construction to prevent breakovers, suppress spot fires, and extinguish overlooked hotspots.",Business Term,patrol (suppression),,Miscellaneous,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-rescueMedical,rescue medical,Any staffed ground vehicle capable of providing medical services.,Business Term,rescue medical,,Resources,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireSuppressionOrganizationManagementStructure,fire suppression organization (management structure),"The management structure, usually shown in the form of an organization chart of the persons and groups having specific responsibilities in fire suppression.",Business Term,fire suppression organization (management structure),,Incident,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-emission,emission,A release of combustion gases and aerosols into the atmosphere.,Business Term,emission,,Fuels,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-leadership,leadership,"The art of providing purpose, direction, and motivation to a group of people in order to accomplish a mission and improve the organization. Leaders provide purpose by clearly communicating their intent and describing the desired end state of an assignment to their followers. Leaders provide direction by maintaining standards of performance for their followers. Leaders provide motivation by setting the example for their followers.&nbsp;",Business Term,leadership,,Resources,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-FirelampFireaAndLandManagementPlanning,Firelamp (Fire and Land Management Planning),"Computerized multi-resource model that simulates the effects that naturally caused prescribed fires have on the future production of natural resources such as timber, forage, wildlife, recreation, and water.",Business Term,Firelamp (Fire and Land Management Planning),,Fuels,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireClimax,fire climax,Plant community maintained by periodic fires.,Business Term,fire climax,,Fuels,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-mitigation,mitigation,Modifying the environment or human behavior to reduce potential adverse impacts of from a natural hazard.,Business Term,mitigation,,Miscellaneous,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-partialRisk,partial risk,"Contribution of a specific source to human-caused risk, derived from the daily activity level assigned a risk source and its risk source ratio.",Business Term,partial risk,,Fire Environment,,Part of the National Fire Danger Rating System (NFDRS).,gb,,,,,,,,,
